Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;1;4;0.5;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;1;1;0.5;0.5
std-NetwerkPartitie;0;1;0;1
Opstarten;14;14;4;4
Connect;17;18;1;1
Disconnect;3;7;0.5;1
Berichten;8;8;1;1
BerichtNaVerandering;7;7;0.5;0.5
NetwerkPartitie;0;4;0;1
Fout in de locking;-;-;-2;-
BovenLimiet;0;1;0;1
Totaal;-;-;12;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
//New: 55500
Afstand naar 55500 is nu 2 via 55508
//SendRT 55503
//SendRT 55508
gottem
//SendRT 55514
//SendRT 55510
Afstand naar 55506 is nu 2 via 55510
gottem
//SendRT 55510
//SendRT 55511
//Connection with port 55507 broke unexpectedly
//Connection with port 55511 broke unexpectedly
//SendRT 55507
//SendRT 55511
//ReadRT 55514
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55508
//New: 55501
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55508
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55510
//ReadRT 55503
//ReadRT 55503
//New: 55555510
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55514
//ReadRT 55510
//ReadRT 55514
//New: 555055500
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55510
//ReadRT 55510
//ReadRT 55508
//ReadRT 55508
//New: 555055507
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55503
//Connection with port 55507 regained
gottem
//Connection with port 55511 regained
gottem
//SendRT 55507
gottem
//SendRT 55507
gottem
//SendRT 55507
//ReadRT 55507
//ReadRT 55514
//ReadRT 55507
//ReadRT 55507
//ReadRT 55503
//ReadRT 55503
//SendRT 55511
gottem
//SendRT 55511
gottem
//SendRT 55511
Afstand naar 55501 is nu 2 via 55511
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55514
//ReadRT 55508
//ReadRT 55510
//ReadRT 55511
//ReadRT 55510
1111
1111
1111
1111
gottem
//SendRT 55507
gottem
gottem
//SendRT 55514
gottem
gottem
//SendRT 55510
//New: 55509
//SendRT 55507
gottem
//SendRT 55503
//SendRT 55511
gottem
//SendRT 55508
//SendRT 55503
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55510
gottem
//SendRT 55514
gottem
gottem
//SendRT 55514
//SendRT 55507
gottem
//SendRT 55507
Afstand naar 55509 is nu 2 via 55514
gottem
//SendRT 55507
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//ReadRT 55503
//ReadRT 55507
gottem
//SendRT 55511
gottem
//SendRT 55507
//ReadRT 55510
//ReadRT 55503
//SendRT 55511
//ReadRT 55503
//ReadRT 55511
//ReadRT 55510
//ReadRT 55503
//ReadRT 55511
//ReadRT 55503
//ReadRT 55511
//ReadRT 55511
//Connection with port 55511 broke unexpectedly
//SendRT 55511
//ReadRT 55514
//SendRT 55508
gottem
//ReadRT 55514
//SendRT 55508
//ReadRT 55508
//ReadRT 55514
//Connection with port 55508 broke unexpectedly
//ReadRT 55510
//ReadRT 55510
//ReadRT 55510
//New: 55555502
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55514
//ReadRT 55514
//ReadRT 55507
//ReadRT 55503
//ReadRT 55510
//New: 555055505
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55510
//New: 555055502
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55514
//ReadRT 55510
//ReadRT 55503
//ReadRT 55514
//Connection with port 55507 broke unexpectedly
//ReadRT 55503
//ReadRT 55514
//ReadRT 55514
//Connection with port 55508 regained
//Connection with port 55511 regained
//ReadRT 55508
//ReadRT 55511
//ReadRT 55508
Afstand naar 555055505 is nu 4 via 55511
//ReadRT 55508
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55511
Afstand naar 555055502 is nu 4 via 55511
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55514
//ReadRT 55508
//ReadRT 55508
//ReadRT 55503
//Connection with port 55507 regained
//ReadRT 55507
//ReadRT 55507
//ReadRT 55507
//ReadRT 55507
//ReadRT 55507
1111
1111
1111
gottem
gottem
//SendRT 55510
//SendRT 55511
//ReadRT 55503
//ReadRT 55514
//ReadRT 55510
//ReadRT 55510
//ReadRT 55511
//ReadRT 55508
gottem
//SendRT 55507
//ReadRT 55507
//ReadRT 55507
gottem
gottem
//SendRT 55508
//SendRT 55511
//ReadRT 55503
//ReadRT 55503
//ReadRT 55511
//ReadRT 55514
//ReadRT 55510
//ReadRT 55507
//ReadRT 55508
//ReadRT 55511
//ReadRT 55507
//ReadRT 55508
//ReadRT 55510
//ReadRT 55514
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
1111
1111
1111
gottem
gottem
//SendRT 55508
//SendRT 55503
gottem
gottem
gottem
//SendRT 55507
//SendRT 55514
//SendRT 55510
gottem
//SendRT 55511
//ReadRT 55503
gottem
//SendRT 55507
//ReadRT 55507
//ReadRT 55510
gottem
//SendRT 55514
//ReadRT 55514
gottem
//SendRT 55511
gottem
//SendRT 55511
gottem
//SendRT 55511
//ReadRT 55508
//New: 55500
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55511
//ReadRT 55503
//ReadRT 55508
//ReadRT 55503
//ReadRT 55510
//ReadRT 55507
//ReadRT 55510
//ReadRT 55507
//ReadRT 55510
//ReadRT 55507
//Connection with port 55514 broke unexpectedly
//ReadRT 55511
//New: 55555507
//ReadRT 55511
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55508
//ReadRT 55503
//ReadRT 55508
//ReadRT 55503
//ReadRT 55510
//ReadRT 55511
//ReadRT 55507
//New: 555055503
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55507
//ReadRT 55511
gottem
//SendRT 55511
//ReadRT 55503
//ReadRT 55510
//ReadRT 55508
//ReadRT 55508
//ReadRT 55507
//Connection with port 55514 regained
//ReadRT 55514
Afstand naar 555055503 is nu 4 via 55514
//SendRT 55503
//SendRT 55508
//SendRT 55514
//SendRT 55510
//SendRT 55507
//SendRT 55511
//ReadRT 55514
//ReadRT 55514
//ReadRT 55514
> R
55504 2 55503
55503 1 55503
55505 2 55503
55501 2 55511
55500 3 55511
55506 2 55510
55502 0 local
55507 1 55507
55508 1 55508
55509 2 55514
55510 1 55510
55511 1 55511
55512 2 55511
55513 2 55514
55514 1 55514
55555510 5 55514
555055500 4 55510
555055507 4 55503
55555502 4 55514
555055505 4 55511
555055502 4 55511
55555507 3 55508
555055503 4 55514

Process 55503:
1111
gottem
//SendRT 55502
gottem
//SendRT 55505
gottem
gottem
//SendRT 55505
gottem
//SendRT 55504
//SendRT 55505
//New: 55501
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55502
//ReadRT 55502
//ReadRT 55504
gottem
//SendRT 55505
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//New: 555055507
//SendRT 55502
//New: 55555510
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55502
//New: 555055500
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55502
//ReadRT 55505
//ReadRT 55502
//ReadRT 55504
//ReadRT 55504
//ReadRT 55505
//ReadRT 55502
//ReadRT 55505
//ReadRT 55504
1111
gottem
//SendRT 55502
gottem
//SendRT 55504
gottem
//SendRT 55505
gottem
//SendRT 55502
gottem
//SendRT 55502
gottem
//SendRT 55502
gottem
//SendRT 55505
//New: 55509
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55502
//ReadRT 55502
//ReadRT 55504
//ReadRT 55502
//New: 55555502
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55502
//New: 555055502
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55505
//ReadRT 55504
//ReadRT 55504
//New: 555055505
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55502
//ReadRT 55502
//ReadRT 55504
Afstand naar 555055505 is nu 5 via 55502
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55502
//ReadRT 55502
gottem
//SendRT 55502
gottem
//SendRT 55502
gottem
//SendRT 55502
1111
gottem
gottem
//SendRT 55504
//SendRT 55502
gottem
//SendRT 55505
gottem
//ReadRT 55504
//SendRT 55502
gottem
//SendRT 55502
//ReadRT 55502
gottem
//SendRT 55505
//New: 55500
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55505
//ReadRT 55504
//ReadRT 55502
//New: 55555507
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55502
//New: 555055503
//SendRT 55502
//SendRT 55504
//SendRT 55505
//ReadRT 55504
//ReadRT 55504
//ReadRT 55505
//ReadRT 55505
//ReadRT 55502
//ReadRT 55502
> R
55504 1 55504
55503 0 local
55505 1 55505
55506 2 55505
55502 1 55502
55507 2 55502
55500 4 55505
55501 3 55505
55508 2 55502
55509 3 55505
55510 2 55502
55511 2 55502
55512 2 55505
55513 2 55504
55514 2 55502
555055507 3 55505
55555510 6 55502
555055500 5 55502
55555502 5 55502
555055502 4 55505
555055505 5 55502
55555507 4 55502
555055503 4 55504

Process 55504:
1111
gottem
//SendRT 55505
gottem
//SendRT 55513
gottem
//SendRT 55503
gottem
//SendRT 55505
gottem
//SendRT 55505
gottem
//SendRT 55513
gottem
//SendRT 55513
gottem
//SendRT 55505
//ReadRT 55503
//New: 55501
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55503
Afstand naar 55501 is nu 3 via 55513
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//Connection with port 55505 broke unexpectedly
//New: 55555510
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//New: 555055507
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55503
//ReadRT 55503
//New: 555055500
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55503
//ReadRT 55513
//ReadRT 55513
//Connection with port 55505 regained
Afstand naar 555055507 is nu 3 via 55505
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55505
//ReadRT 55505
//ReadRT 55505
//ReadRT 55513
1111
gottem
gottem
//SendRT 55513
//SendRT 55505
gottem
//SendRT 55503
gottem
//SendRT 55505
//ReadRT 55505
//ReadRT 55513
//ReadRT 55503
//ReadRT 55503
//New: 55555502
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//New: 555055502
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//ReadRT 55505
//ReadRT 55505
//ReadRT 55503
//New: 555055505
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55505
//ReadRT 55503
//ReadRT 55513
//ReadRT 55503
//ReadRT 55503
1111
gottem
//SendRT 55505
gottem
gottem
//SendRT 55503
//SendRT 55513
gottem
//SendRT 55505
//New: 55500
//SendRT 55503
gottem
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//SendRT 55513
//ReadRT 55505
//ReadRT 55503
//ReadRT 55503
//New: 555055503
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55513
//New: 55555507
//SendRT 55503
//SendRT 55505
//SendRT 55513
//ReadRT 55503
//ReadRT 55513
//ReadRT 55505
//ReadRT 55505
//ReadRT 55503
> R
55504 0 local
55503 1 55503
55505 1 55505
55506 2 55505
55502 2 55503
55507 3 55505
55500 4 55505
55501 3 55513
55508 3 55503
55509 3 55513
55510 3 55503
55511 3 55513
55512 2 55513
55513 1 55513
55514 2 55513
55555510 6 55513
555055507 3 55505
555055500 6 55503
55555502 5 55513
555055502 4 55513
555055505 6 55505
555055503 3 55513
55555507 5 55503

Process 55505:
1111
1111
1111
1111
gottem
gottem
//SendRT 55503
//SendRT 55512
gottem
//SendRT 55506
//ReadRT 55503
//ReadRT 55512
//ReadRT 55506
//ReadRT 55504
gottem
gottem
//ReadRT 55503
//New: 555055507
//SendRT 55504
//SendRT 55506
//SendRT 55512
//ReadRT 55503
//SendRT 55503
//ReadRT 55512
//SendRT 55506
//SendRT 55504
//ReadRT 55504
//ReadRT 55504
//ReadRT 55512
//ReadRT 55512
//ReadRT 55503
//Connection with port 55506 broke unexpectedly
//ReadRT 55503
//ReadRT 55512
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//New: 55555510
//SendRT 55504
//SendRT 55506
//ReadRT 55512
//SendRT 55512
//SendRT 55503
//ReadRT 55504
//ReadRT 55512
//New: 555055500
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55512
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
//ReadRT 55504
//ReadRT 55504
//Connection with port 55506 regained
//ReadRT 55506
//ReadRT 55506
Afstand naar 555055500 is nu 5 via 55506
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55504
1111
1111
gottem
//SendRT 55504
gottem
gottem
//SendRT 55512
gottem
//SendRT 55503
//SendRT 55506
//ReadRT 55506
gottem
//SendRT 55512
//ReadRT 55512
//ReadRT 55504
//ReadRT 55504
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55512
//ReadRT 55503
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//New: 555055502
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55512
//New: 55555502
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55512
//ReadRT 55506
//New: 555055505
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55512
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55504
//ReadRT 55504
//ReadRT 55503
//ReadRT 55504
//ReadRT 55503
//ReadRT 55503
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55512
1111
1111
gottem
//SendRT 55506
gottem
//SendRT 55504
gottem
//SendRT 55503
gottem
//SendRT 55512
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55504
//ReadRT 55503
gottem
//SendRT 55512
//ReadRT 55512
//ReadRT 55506
//ReadRT 55504
//ReadRT 55504
//ReadRT 55503
//ReadRT 55503
//ReadRT 55512
//New: 555055503
//SendRT 55504
//SendRT 55506
//SendRT 55512
gottem
//SendRT 55503
//ReadRT 55512
//SendRT 55506
//New: 55555507
//SendRT 55504
//SendRT 55506
//SendRT 55512
//SendRT 55503
//ReadRT 55503
//ReadRT 55504
//ReadRT 55504
//ReadRT 55512
gottem
//SendRT 55512
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
> R
55505 0 local
55504 1 55504
55506 1 55506
55503 1 55503
55502 2 55503
55507 2 55506
55500 3 55506
55501 2 55506
55508 3 55506
55509 2 55512
55510 2 55506
55511 2 55512
55512 1 55512
55513 2 55512
55514 3 55512
555055507 2 55512
55555510 7 55504
555055500 5 55506
555055502 3 55512
55555502 4 55512
555055505 5 55512
555055503 4 55512
55555507 5 55503

Process 55506:
1111
1111
gottem
gottem
//SendRT 55501
//SendRT 55507
gottem
//SendRT 55505
gottem
gottem
//SendRT 55510
gottem
//SendRT 55507
gottem
//SendRT 55507
//New: 55502
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
//SendRT 55505
gottem
//SendRT 55505
gottem
//SendRT 55510
//ReadRT 55510
gottem
//SendRT 55507
gottem
//SendRT 55507
//ReadRT 55501
//ReadRT 55505
gottem
//SendRT 55505
//ReadRT 55507
//ReadRT 55501
//ReadRT 55510
//ReadRT 55510
//Connection with port 55505 broke unexpectedly
//ReadRT 55501
//New: 555055500
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55510
//New: 55555510
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55510
//ReadRT 55507
//ReadRT 55507
//New: 555055507
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
//ReadRT 55501
//ReadRT 55501
//ReadRT 55510
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
//Connection with port 55505 regained
Afstand naar 555055507 is nu 3 via 55505
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55505
//ReadRT 55505
//ReadRT 55505
//ReadRT 55510
1111
gottem
//SendRT 55507
gottem
//SendRT 55510
gottem
//SendRT 55507
gottem
gottem
//SendRT 55505
//SendRT 55501
gottem
//SendRT 55507
gottem
//SendRT 55507
gottem
//SendRT 55507
//New: 55509
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55510
gottem
//SendRT 55501
gottem
gottem
//SendRT 55501
//SendRT 55505
Afstand naar 55509 is nu 3 via 55507
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
//ReadRT 55510
Afstand naar 55509 is nu 2 via 55501
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55501
//ReadRT 55505
//ReadRT 55510
//New: 55555502
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55501
//New: 555055502
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55501
//ReadRT 55507
//New: 555055505
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55501
//ReadRT 55505
//ReadRT 55505
//ReadRT 55507
//ReadRT 55510
//ReadRT 55510
//ReadRT 55505
//ReadRT 55510
//ReadRT 55507
//ReadRT 55507
//ReadRT 55507
1111
1111
gottem
//SendRT 55510
//ReadRT 55505
gottem
//SendRT 55507
//ReadRT 55507
//ReadRT 55501
//Connection with port 55510 broke unexpectedly
//ReadRT 55501
//ReadRT 55507
//ReadRT 55505
//ReadRT 55507
//Connection with port 55510 regained
//ReadRT 55510
1111
1111
1111
gottem
//SendRT 55507
gottem
gottem
//SendRT 55505
//SendRT 55510
gottem
//SendRT 55507
//ReadRT 55507
gottem
//SendRT 55505
//ReadRT 55505
//ReadRT 55507
//ReadRT 55507
//ReadRT 55505
//ReadRT 55510
//ReadRT 55510
//ReadRT 55510
gottem
//SendRT 55501
//ReadRT 55501
//ReadRT 55501
//New: 55555507
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
//ReadRT 55507
//New: 555055503
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
//ReadRT 55501
//ReadRT 55501
gottem
//ReadRT 55510
//SendRT 55501
//ReadRT 55505
//ReadRT 55505
//ReadRT 55505
//ReadRT 55510
//ReadRT 55510
//ReadRT 55501
//ReadRT 55501
Afstand naar 55555507 is nu 4 via 55507
//SendRT 55505
//SendRT 55507
//SendRT 55501
//SendRT 55510
//ReadRT 55507
> R
55506 0 local
55505 1 55505
55507 1 55507
55504 2 55505
55503 2 55505
55502 2 55507
55500 2 55501
55501 1 55501
55508 2 55507
55509 2 55501
55510 1 55510
55511 2 55507
55512 2 55505
55513 3 55505
55514 3 55510
555055500 4 55510
55555510 7 55510
555055507 3 55505
55555502 4 55501
555055502 4 55501
555055505 5 55501
55555507 4 55507
555055503 5 55507

Process 55507:
1111
1111
1111
1111
1111
gottem
gottem
//SendRT 55502
//SendRT 55508
gottem
gottem
//SendRT 55506
//SendRT 55511
gottem
//SendRT 55512
gottem
//SendRT 55510
gottem
//SendRT 55508
gottem
//ReadRT 55508
//SendRT 55511
gottem
//SendRT 55511
//ReadRT 55511
gottem
//SendRT 55510
//ReadRT 55510
//ReadRT 55506
//ReadRT 55512
//ReadRT 55508
//ReadRT 55508
//ReadRT 55502
gottem
//SendRT 55511
gottem
gottem
//SendRT 55511
//SendRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55510
//ReadRT 55510
//ReadRT 55510
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55502
//ReadRT 55511
//ReadRT 55502
//ReadRT 55511
//ReadRT 55502
//ReadRT 55511
//ReadRT 55511
//ReadRT 55510
//ReadRT 55510
//ReadRT 55506
//ReadRT 55506
//ReadRT 55512
//New: 555055500
//SendRT 55506
//ReadRT 55502
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55510
//New: 55555510
//SendRT 55506
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55511
//ReadRT 55510
//ReadRT 55502
//ReadRT 55502
//ReadRT 55508
//ReadRT 55508
//New: 555055507
//SendRT 55506
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//ReadRT 55506
//SendRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55506
//ReadRT 55511
//ReadRT 55512
//ReadRT 55511
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55506
//ReadRT 55511
//ReadRT 55510
//ReadRT 55502
//ReadRT 55506
//ReadRT 55510
1111
1111
1111
1111
1111
gottem
//SendRT 55510
//ReadRT 55510
//ReadRT 55512
//ReadRT 55510
//ReadRT 55508
gottem
//SendRT 55508
//ReadRT 55502
gottem
//ReadRT 55511
//SendRT 55502
//ReadRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55512
gottem
//SendRT 55511
gottem
gottem
//SendRT 55511
gottem
//SendRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
//ReadRT 55506
//ReadRT 55506
//ReadRT 55510
//ReadRT 55506
//ReadRT 55510
//ReadRT 55506
//ReadRT 55510
//SendRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
//New: 55555502
//SendRT 55506
//SendRT 55508
//SendRT 55510
//SendRT 55502
//ReadRT 55511
//SendRT 55511
//SendRT 55512
//ReadRT 55508
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55510
//ReadRT 55506
//New: 555055505
gottem
//SendRT 55506
//SendRT 55512
//SendRT 55508
//SendRT 55510
gottem
//New: 555055502
//ReadRT 55512
//ReadRT 55512
//ReadRT 55512
//SendRT 55502
gottem
//SendRT 55502
gottem
//SendRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55502
//ReadRT 55510
//ReadRT 55510
//ReadRT 55510
//ReadRT 55510
//SendRT 55502
//SendRT 55511
//ReadRT 55508
//SendRT 55512
//ReadRT 55511
Afstand naar 555055502 is nu 4 via 55511
//SendRT 55506
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55511
//ReadRT 55511
//SendRT 55506
//ReadRT 55508
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//ReadRT 55512
//ReadRT 55502
//SendRT 55512
//ReadRT 55506
Afstand naar 555055502 is nu 3 via 55512
//ReadRT 55506
//ReadRT 55502
//SendRT 55506
//SendRT 55508
//SendRT 55510
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55512
//ReadRT 55512
//ReadRT 55508
//ReadRT 55512
//ReadRT 55502
//ReadRT 55502
//Connection broken with port 55510
gottem
gottem
//SendRT 55511
gottem
//SendRT 55502
//SendRT 55506
gottem
//SendRT 55506
//New: 55510
//New: 555055500
//SendRT 55506
//SendRT 55508
//SendRT 55502
//SendRT 55511
gottem
//SendRT 55512
//ReadRT 55506
gottem
//SendRT 55508
//SendRT 55511
gottem
gottem
//SendRT 55502
//SendRT 55512
//ReadRT 55512
//ReadRT 55511
//ReadRT 55508
gottem
//SendRT 55502
//ReadRT 55502
//ReadRT 55508
//ReadRT 55508
//ReadRT 55508
1111
1111
gottem
//SendRT 55508
gottem
//SendRT 55506
gottem
gottem
//SendRT 55502
gottem
//SendRT 55511
//SendRT 55512
gottem
//SendRT 55506
//New: 55500
//SendRT 55506
//SendRT 55508
//SendRT 55502
//SendRT 55511
gottem
//SendRT 55512
//ReadRT 55506
gottem
//SendRT 55502
gottem
//SendRT 55502
//ReadRT 55502
//SendRT 55512
gottem
//ReadRT 55508
//SendRT 55511
gottem
//SendRT 55511
//ReadRT 55512
//Connection with port 55508 broke unexpectedly
//Connection with port 55511 broke unexpectedly
//ReadRT 55506
//ReadRT 55502
//ReadRT 55502
//ReadRT 55512
//New: 55555507
//SendRT 55506
//SendRT 55508
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55502
gottem
//SendRT 55506
//New: 555055503
//SendRT 55506
//SendRT 55508
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55512
//ReadRT 55512
gottem
//SendRT 55512
//ReadRT 55506
//ReadRT 55506
//ReadRT 55502
//Connection with port 55508 regained
Afstand naar 55555507 is nu 3 via 55508
//SendRT 55506
//SendRT 55508
//SendRT 55502
//SendRT 55511
//SendRT 55512
//ReadRT 55508
//ReadRT 55506
//ReadRT 55508
//ReadRT 55508
//Connection with port 55511 regained
//ReadRT 55511
//ReadRT 55511
//ReadRT 55511
gottem
//SendRT 55511
//ReadRT 55502
> R
55507 0 local
55506 1 55506
55508 1 55508
55505 2 55506
55504 3 55506
55503 2 55502
55502 1 55502
55500 3 55506
55501 2 55506
55509 2 55508
555055500 5 55506
55511 1 55511
55512 1 55512
55513 2 55512
55514 2 55511
55510 2 55506
55555510 6 55511
555055507 4 55512
55555502 4 55508
555055505 4 55511
555055502 3 55512
55555507 3 55508
555055503 4 55512

Process 55508:
1111
1111
gottem
gottem
//SendRT 55509
gottem
//SendRT 55507
//SendRT 55502
gottem
//SendRT 55500
gottem
gottem
//SendRT 55509
gottem
//SendRT 55507
//SendRT 55509
//New: 55501
//SendRT 55507
//SendRT 55509
//SendRT 55502
//SendRT 55500
//ReadRT 55509
//Connection with port 55507 broke unexpectedly
gottem
//SendRT 55500
//ReadRT 55500
gottem
//SendRT 55509
gottem
//ReadRT 55502
